week,sp-dmn,num,sp-dmn,num,sp-dmn,num,sp-dmn,num,sp-dmn,num,sp-dmn,num,sp-dmn,num,sp-dmn,num,sp-dmn,num,sp-dmn,num,sp-dmn,num,sp-dmn,num,sp-dmn,num,sp-dmn,num,sp-dmn,num,sp-dmn,num,sp-dmn,num,sp-dmn,num,sp-dmn,num,sp-dmn,num,sp-dmn,num,sp-dmn,num
1,0,0,0,0,0,0,0,0,0,0.29,0,0.65,0.001063998,0.17,0.000135076,2.03,0.00366607,3.05,5.03654E-05,0.14,0.001347725,0.86,0.004343789,1.76,0.010114481,5.3,0.001871969,0.46,0.001094564,2.47,0.007910823,2.01,0.001165794,1.25,0.005277779,2.93,0.035388096,6.39,0,0,0,0,0,0.25
2,0,2.22,0,0,0,0.11,0,0,0,0.7,0,0.42,0.000764568,0,0.000111467,1.45,0.001326933,1.81,2.97896E-05,0.28,0.001544185,0.37,0.001536444,0.7,0.004168865,1.78,0.00153313,0.87,0.000714511,1.34,0.001605251,1.2,0.002307055,1.42,0.002907447,0.99,0.014048614,4.83,0,0,0,0,0,0
3,0,1.33,0,0,0,0,0,0,0,0.2,2.66791E-05,0.14,0.000619536,0,0.000151073,0.55,0.001697697,2.14,5.71138E-05,0.24,0.000900949,0.41,0.000961709,0.33,0.00246081,1.12,0.000904024,0.36,0.000811321,1.64,0.001564469,0.39,0.001048881,0.74,0.001519091,1.56,0.003874438,4.22,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,1.78057E-05,0.14,0.000437864,0,5.61273E-05,0.9,0.002173509,1.55,5.26131E-05,0,0.000790117,0.38,0.001618238,0.2,0.001386744,2.4,0.00082317,0.64,0.000529318,1.05,0.000624125,0.67,0.00121949,1.33,0.001218668,0.86,0.002510704,2.05,0,0,0,0,0,0
5,0,0.11,0,0.11,0,0,0,0,0,0.51,1.22639E-05,0,0.000297709,0.08,8.33575E-05,0.07,0.001039575,1.41,0.001165707,1.5,0.000367343,1.32,0.000647721,0.23,0.00113963,0.71,0.000572819,0.17,0.000444686,0.87,0.001265141,0.5,0.000650076,2.21,0.002378221,1.64,0.003004482,1.35,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,8.71212E-06,0,0.000214222,0,2.455E-05,0.24,0.003755772,2.68,0.000407943,1.37,0.000431302,0.13,0.001324466,2.64,0.000890668,0.31,0.0004766,0.2,0.000335942,0.56,0.000793327,0.61,0.000858882,1.46,0.001070016,1.42,0.001828656,2.63,0,0,0,0,0,0.93
7,0,0,0,0,0,0,0,0,0,0.2,6.363E-06,0.11,0.000156405,0,4.25457E-05,0,0.001723045,5.63,0.000258923,0,0.000397796,0.14,0.000754912,0.91,0.001021491,0.56,0.000372465,0.14,0.000301454,0.32,0.001000977,0.37,0.000683297,1.56,0.000958648,0.62,0.001206678,2.84,0,0,0,0,0,0.64
8,0,0,0,0,0,0,0,0,0,0.25,9.05895E-05,0.2,0.000117079,0,3.14175E-05,0.07,0.001209573,5.86,4.28337E-05,0.07,0.000268039,0.17,0.000356548,0.16,0.000874746,0.11,0.000366433,0.19,0.000299163,0.86,0.000740826,0.3,0.001640463,3.62,0.000693056,0.7,0.001108464,2.73,0,0,0,0.05,0,1.23
9,0,0,0,0,0,0,0,0,0,0,2.72666E-05,0,0.000127835,0.08,2.37382E-05,0.13,0.002439408,21.88,0.000293398,0.81,0.000192943,0.4,0.000219494,0.16,0.000683167,0.47,0.000229428,0.18,0.000618213,1.13,0.000507723,0.33,0.001265369,7.6,0.000598528,0.56,0.000523366,2.69,0,0,0,0,0.00013202,2.21
10,0,0,0,0,0,0,0,0,0,0,2.11802E-05,0.25,6.96459E-05,0,1.82974E-05,0,0.021918874,36.41,0.000122212,0,0.000174045,0.61,0.000292459,0.34,0.00060008,0.2,0.000174975,0.31,0.000229921,0.14,0.000528285,0.43,0.000618635,2.76,0.000435174,0.25,0.000770827,3.61,0,0,0,0,3.55969E-06,0.67
11,0,0,0,0,0,0,0,0,0,0,1.67321E-05,0,5.51784E-05,0,1.4352E-05,0,0.010838904,44.3,0.000135263,0.5,0.000138878,0.14,0.000185649,0.42,0.00050839,0.11,0.000134042,0.38,0.000120989,0.22,0.000425227,0.37,0.0003376,1.96,0.000216638,1.35,0.000660056,13.63,0,0.05,0,0,0.000795118,0.42
12,0,0,0,0,0,0,0,0,0,0,1.3415E-05,0,4.43466E-05,0,1.14314E-05,0.09,0.117570883,59.9,0.000132344,0.17,0.000110131,0,0.000136901,1.08,0.000417656,0.13,0.000124336,0.27,0.000135276,0.63,0.000317429,1.17,0.000382586,2.7,0.000349441,0.19,0.000690319,4.55,0,0,0,0,6.77493E-06,0.27
13,0,0,0,0,0,0,0,0,0,0,1.08967E-05,0,3.60962E-05,0,9.22982E-06,0,0.065303763,68.51,0.000116716,2.38,8.99298E-05,0,0.000140704,0.09,0.000388076,0.14,0.000137917,0.67,0.000171839,0.1,0.00025977,1.09,0.00020802,2.58,0.000298704,0.41,0.001943937,7.19,0,0,0,0,3.00668E-05,0.24
14,0,0,0,0,0,0,0,0,0,0,8.9544E-06,0,2.97152E-05,0,7.54293E-06,0.11,0.090299489,83.79,0.000104635,1.63,7.36141E-05,0.43,0.000202887,3.6,0.000299218,0.1,0.00010904,0.26,0.000778216,1.14,0.000607473,2.2,0.00051171,3.09,0.000188235,1.69,0.001448775,12.36,0,0,0,0,5.72888E-06,0.41
15,0,0,0,0,0,0,0,0,0,0,7.43514E-06,0,2.47119E-05,0.2,6.2315E-06,0,0.203930827,127.33,0.000258963,2.41,5.44403E-05,0.41,0.000280503,3.8,0.000244368,0.28,0.000131902,0.82,9.83365E-05,1.32,0.003032442,3,0.000659383,3.66,0.001533994,4.17,0.009340858,23.17,0,0,0,0,5.58891E-05,0.4
16,0,0,0,0,0,0,0,0,0,0,6.23162E-06,0.2,2.07401E-05,0.31,9.03073E-06,0.48,0.172989566,146.16,0.000150549,1.65,5.05878E-05,0.73,0.00025936,0.78,0.000210118,0.25,0.000119936,1.73,0.000224364,1.56,0.000272554,2.62,0.000139193,3.37,0.00029285,5.8,0.002044927,19.67,0,0,0,0.09,0.000192101,0.39
17,0,0.17,0,0,0,0,0,0,0,0,5.26725E-06,0,1.75517E-05,0.64,4.52038E-05,0.69,0.201148981,200.95,0.000165634,1.76,4.45454E-05,0.1,8.34454E-05,0.55,0.000164669,0.13,0.000214959,0.93,0.000126393,0.53,0.000119816,4.7,0.000263353,3.86,0.000618104,4.52,0.00216549,23.16,0,0,0,0,1.38487E-05,0.23
18,0,0.17,0,0,0,0,0,0,0,0,4.48647E-06,0,2.48208E-05,0.91,1.79718E-05,0,0.103477754,219.01,0.000117137,2.37,2.24506E-05,0.3,0.000119789,0.7,0.000145986,0.14,0.000132307,1.45,0.000131849,0.92,0.0015336,5.07,0.00014168,3.07,0.001844826,6.84,0.004570007,24.42,0,0,0,0,3.43852E-05,0.17
19,0,0,0,0,0,0,0,0.6,0,0,1.37014E-05,0.2,1.70462E-05,1.09,3.84567E-05,0.42,0.411600998,334.55,0.000134615,2.06,7.38341E-05,1.28,0.000178744,1.19,5.05094E-05,0.84,0.000127173,1.5,0.000103146,2.99,0.000141566,5.62,0.000239257,3.28,0.00010735,2.61,0.000735728,23.86,0,0,0,0.05,1.69716E-05,0.09
20,0,0.11,0,0,0,0,0,5.2,0,0.4,8.92679E-06,0,8.58029E-05,2.15,2.60618E-05,0.78,0.221953174,385.35,0.000110731,1.86,2.56872E-05,0.79,6.94644E-05,0.5,8.91284E-05,0.25,0.00014826,1.99,9.47284E-05,1.35,0.002720659,6.07,0.000187792,7.01,0.00039526,2.85,0.000584329,13.56,0,0,0,0,1.07255E-05,0.09
21,7.41665E-07,0.25,0,0,0,0,0,4.6,0,0.4,7.75375E-06,0,0.001323858,8.69,4.97786E-05,0.46,0.138396928,442.84,9.80889E-05,1.57,7.28871E-05,1.67,5.06268E-05,0.28,0.000774259,1.49,0.000150894,1.72,0.000226723,2.25,0.005793064,6.79,0.000243542,8.47,0.001624785,2.62,0.001492496,15.82,0,0.08,0,0,1.96629E-05,0.39
22,6.4775E-07,0.5,0,0.17,0,0,0,6.9,0,0.4,6.77163E-06,0,0.013611447,14.58,3.90946E-05,0.43,0.141309401,504.16,9.03759E-05,2.51,4.88465E-05,0.87,5.3896E-05,0.64,0.000134247,1.81,0.000914676,3.6,0.000221093,2.85,0.020085743,12.09,0.001170106,14.87,0.000797485,3.15,0.001470712,20.97,0,0.36,0,0,0.000372686,1.93
23,5.68587E-07,1,0,1,0,0,0,9.04,0,1,5.9438E-06,0,0.016203193,19.33,0.000129248,1.25,0.043767811,464.17,0.020041885,8.4,8.03767E-05,1.27,0.000117755,2.49,3.81931E-05,2.07,0.00663716,7.05,0.019267343,2.93,0.042177965,18.66,0.000224687,12.19,0.014334057,11.23,0.000463249,22.89,0,0.13,0,0,0.003887649,1.35
24,1.72283E-06,0.79,0,0.33,0,0.25,0,8.78,0,3.6,5.1044E-06,0.5,0.015572592,26.61,0.000178365,3.94,0.029211036,439.73,0.005258517,13.19,0.000128674,2.71,0.000137093,2.92,0.000115872,1.94,0.005413577,15.48,0.000573291,3.75,0.124410317,34.49,0.00478265,21.52,0.008693042,16.4,0.006197954,50.02,0,0.04,0,0.05,0.000703644,3.32
25,8.16371E-07,0.95,0,0.67,0,1.54,0,9.87,0.005542083,6.43,4.64262E-06,0.34,0.033542812,32.49,0.001742127,9.72,0.012999517,422.12,0.032883029,16.77,5.10708E-05,2.02,0.000218593,4.61,9.80161E-05,3.84,0.099038481,40.92,0.000722912,4.19,0.082829502,39.86,0.013560177,37.35,0.001934178,15.59,0.165386842,76.84,0,0.17,0,0,0.003044128,3.52
